Type,Size,Sales,Profits,Employees,profit/emp,Assets,PctProfit/sales
Computer,small,855.1,31.0,7523,4120.70,615.2,3.63
Pharmaceutical,big,5453.5,859.8,40929,21007.11,4851.6,15.77
Computer,small,2153.7,153.0,8200,18658.54,2233.7,7.10
Pharmaceutical,big,6747.0,1102.2,50816,21690.02,5681.5,16.34
Computer,small,5284.0,454.0,12068,37620.15,2743.9,8.59
Pharmaceutical,big,9422.0,747.0,54100,13807.76,8497.0,7.93
Computer,small,2876.1,333.3,9500,35084.21,2090.4,11.59
Computer,small,709.3,41.4,5000,8280.00,468.1,5.84
Computer,small,2952.1,-680.4,18000,-37800.0,1860.7,-23.05
Computer,small,784.7,89.0,4708,18903.99,955.8,11.34
Computer,small,1324.3,-119.7,13740,-8711.79,1040.2,-9.04
Pharmaceutical,medium,4175.6,939.5,28200,33315.60,5848.0,22.50
Computer,big,11899.0,829.0,95000,8726.32,10075.0,6.97
Computer,small,873.6,79.5,8200,9695.12,808.0,9.10
Pharmaceutical,big,9844.0,1082.0,83100,13020.46,7919.0,10.99
Pharmaceutical,small,969.2,227.4,3418,66530.13,784.0,23.46
Pharmaceutical,medium,6698.4,1495.4,34400,43470.93,6756.7,22.32
Computer,big,5956.0,412.0,56000,7357.14,4500.0,6.92
Pharmaceutical,big,5903.7,681.1,42100,16178.15,8324.8,11.54
Computer,medium,2959.3,252.8,31404,8049.93,5611.1,8.54
Pharmaceutical,small,1198.3,86.5,8527,10144.25,1791.7,7.22
Computer,small,990.5,20.9,8578,2436.47,624.3,2.11
Pharmaceutical,medium,3243.0,471.3,21300,22126.76,3613.5,14.53
Computer,small,1382.3,0.3,2900,103.45,1076.8,0.02
Computer,small,1014.0,47.7,9100,5241.76,977.0,4.70
Computer,small,1769.2,60.8,10200,5960.78,1269.1,3.44
Computer,small,1643.9,118.3,9548,12390.03,1618.8,7.20
Computer,big,1096.9,-639.3,82300,-7767.92,10751.0,-58.28
Pharmaceutical,medium,2916.3,176.0,20100,8756.22,3246.9,6.04
Computer,medium,3078.4,-424.3,28334,-14974.9,2725.7,-13.78
Pharmaceutical,medium,4272.0,412.7,33000,12506.06,3051.6,9.66
Computer,big,63438.0,3758.0,383220,9806.38,77734.0,5.92
