state,pop,,,,,,,,,,,,
United States,"306,771,529",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
.Alabama,"4,757,938",,,,,,,,,,,,
.Alaska,"698,895",,,,,,,,,,,,
.Arizona,"6,343,154",,,,,,,,,,,,
.Arkansas,"2,896,843",,,,,,,,,,,,
.California,"36,961,229",,,,,,,,,,,,
.Colorado,"4,972,195",,,,,,,,,,,,
.Connecticut,"3,561,807",,,,,,,,,,,,
.Delaware,"891,730",,,,,,,,,,,,
.District of Columbia,"592,228",,,,,,,,,,,,
.Florida,"18,652,644",,,,,,,,,,,,
.Georgia,"9,620,846",,,,,,,,,,,,
.Hawaii,"1,346,717",,,,,,,,,,,,
.Idaho,"1,554,439",,,,,,,,,,,,
.Illinois,"12,796,778",,,,,,,,,,,,
.Indiana,"6,459,325",,,,,,,,,,,,
.Iowa,"3,032,870",,,,,,,,,,,,
.Kansas,"2,832,704",,,,,,,,,,,,
.Kentucky,"4,317,074",,,,,,,,,,,,
.Louisiana,"4,491,648",,,,,,,,,,,,
.Maine,"1,329,590",,,,,,,,,,,,
.Maryland,"5,730,388",,,,,,,,,,,,
.Massachusetts,"6,517,613",,,,,,,,,,,,
.Michigan,"9,901,591",,,,,,,,,,,,
.Minnesota,"5,281,203",,,,,,,,,,,,
.Mississippi,"2,958,774",,,,,,,,,,,,
.Missouri,"5,961,088",,,,,,,,,,,,
.Montana,"983,982",,,,,,,,,,,,
.Nebraska,"1,812,683",,,,,,,,,,,,
.Nevada,"2,684,665",,,,,,,,,,,,
.New Hampshire,"1,316,102",,,,,,,,,,,,
.New Jersey,"8,755,602",,,,,,,,,,,,
.New Mexico,"2,036,802",,,,,,,,,,,,
.New York,"19,307,066",,,,,,,,,,,,
.North Carolina,"9,449,566",,,,,,,,,,,,
.North Dakota,"664,968",,,,,,,,,,,,
.Ohio,"11,528,896",,,,,,,,,,,,
.Oklahoma,"3,717,572",,,,,,,,,,,,
.Oregon,"3,808,600",,,,,,,,,,,,
.Pennsylvania,"12,666,858",,,,,,,,,,,,
.Rhode Island,"1,053,646",,,,,,,,,,,,
.South Carolina,"4,589,872",,,,,,,,,,,,
.South Dakota,"807,067",,,,,,,,,,,,
.Tennessee,"6,306,019",,,,,,,,,,,,
.Texas,"24,801,761",,,,,,,,,,,,
.Utah,"2,723,421",,,,,,,,,,,,
.Vermont,"624,817",,,,,,,,,,,,
.Virginia,"7,925,937",,,,,,,,,,,,
.Washington,"6,667,426",,,,,,,,,,,,
.West Virginia,"1,847,775",,,,,,,,,,,,
.Wisconsin,"5,669,264",,,,,,,,,,,,
.Wyoming,"559,851",,,,,,,,,,,,
,,,,,,,,,,,,,
Puerto Rico,"3,740,410",,,,,,,,,,,,
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other",,,,,,,,,,,,,
"geographic program revisions.""",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details ",,,,,,,,,,,,,
"on this methodology are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.""",,,,,,,,,,,,,
Note: See Geographic Terms and Definitions at http://www.census.gov/popest/geographic/ for a list of the states that are included in each region.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2010 (ST-EST00INT-01)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011 ,,,,,,,,,,,,,
