"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.636934,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.512727,
"BEL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.239517,
"CAN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.104579,
"CZE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.151721,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.913558,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.263344,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.294486,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.473452,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-0.036731,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",12.418487,"B"
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-1.673984,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",13.835313,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.249797,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.266549,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",5.651881,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.984841,
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-4.976184,"B"
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.125444,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-0.962644,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",0.555446,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",6.702097,"B"
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.224891,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",5.189725,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.334824,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.32061,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.603072,
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.576706,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.161159,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.826063,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-3.379744,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",5.134026,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.772615,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.652397,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.340944,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.763118,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.066772,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.512382,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",3.824906,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",6.109559,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",2.613358,
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",6.716334,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",11.249425,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",5.504351,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.642673,
"PER","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",7.312438,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-2.170936,
