"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18601220885874,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.72610057349756,
"BEL","GDEXPRD","TOT","PC_GDP","A","2010",2.05080518925611,
"CAN","GDEXPRD","TOT","PC_GDP","A","2010",1.82958011707869,
"CZE","GDEXPRD","TOT","PC_GDP","A","2010",1.33688451503913,
"DNK","GDEXPRD","TOT","PC_GDP","A","2010",2.91706563382491,
"FIN","GDEXPRD","TOT","PC_GDP","A","2010",3.72597578834848,
"FRA","GDEXPRD","TOT","PC_GDP","A","2010",2.17857321921787,
"DEU","GDEXPRD","TOT","PC_GDP","A","2010",2.71366586753796,
"GRC","GDEXPRD","TOT","PC_GDP","A","2010",0.59837691468361,
"HUN","GDEXPRD","TOT","PC_GDP","A","2010",1.13944928996016,
"IRL","GDEXPRD","TOT","PC_GDP","A","2010",1.5929425524329,
"ITA","GDEXPRD","TOT","PC_GDP","A","2010",1.22310518228411,
"JPN","GDEXPRD","TOT","PC_GDP","A","2010",3.13707537804742,
"KOR","GDEXPRD","TOT","PC_GDP","A","2010",3.46594143742077,
"LUX","GDEXPRD","TOT","PC_GDP","A","2010",1.50257062281042,
"MEX","GDEXPRD","TOT","PC_GDP","A","2010",0.53299424570009,
"NLD","GDEXPRD","TOT","PC_GDP","A","2010",1.72474949011262,
"NOR","GDEXPRD","TOT","PC_GDP","A","2010",1.64855060590137,
"POL","GDEXPRD","TOT","PC_GDP","A","2010",0.72069566276297,
"PRT","GDEXPRD","TOT","PC_GDP","A","2010",1.53257248998849,
"SVK","GDEXPRD","TOT","PC_GDP","A","2010",0.61613703704712,
"ESP","GDEXPRD","TOT","PC_GDP","A","2010",1.34961445415312,
"SWE","GDEXPRD","TOT","PC_GDP","A","2010",3.21611343655699,
"TUR","GDEXPRD","TOT","PC_GDP","A","2010",0.79892051093888,
"GBR","GDEXPRD","TOT","PC_GDP","A","2010",1.66861091084939,
"USA","GDEXPRD","TOT","PC_GDP","A","2010",2.74046247981539,
"ARG","GDEXPRD","TOT","PC_GDP","A","2010",0.56405012263774,
"CHL","GDEXPRD","TOT","PC_GDP","A","2010",0.32947489587905,
"CHN","GDEXPRD","TOT","PC_GDP","A","2010",1.70994161929524,
"EST","GDEXPRD","TOT","PC_GDP","A","2010",1.58161979060136,
"ISR","GDEXPRD","TOT","PC_GDP","A","2010",3.94189457779858,
"ROU","GDEXPRD","TOT","PC_GDP","A","2010",0.45569484737743,
"RUS","GDEXPRD","TOT","PC_GDP","A","2010",1.0492909843515,
"SGP","GDEXPRD","TOT","PC_GDP","A","2010",2.01296993122617,
"SVN","GDEXPRD","TOT","PC_GDP","A","2010",2.05763302355831,
"ZAF","GDEXPRD","TOT","PC_GDP","A","2010",0.73703579053292,
"TWN","GDEXPRD","TOT","PC_GDP","A","2010",2.80351980050163,
"EU28","GDEXPRD","TOT","PC_GDP","A","2010",1.83586988355412,
"OECD","GDEXPRD","TOT","PC_GDP","A","2010",2.2862772396842,
"LVA","GDEXPRD","TOT","PC_GDP","A","2010",0.61078061561452,
