"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","2010",3.552168,
"AUT","GFCF","TOT","AGRWTH","A","2010",-2.58654,
"BEL","GFCF","TOT","AGRWTH","A","2010",-0.82896,
"CZE","GFCF","TOT","AGRWTH","A","2010",1.34665,
"DNK","GFCF","TOT","AGRWTH","A","2010",-5.746984,
"FIN","GFCF","TOT","AGRWTH","A","2010",1.096594,
"FRA","GFCF","TOT","AGRWTH","A","2010",2.081216,
"DEU","GFCF","TOT","AGRWTH","A","2010",5.385182,
"GRC","GFCF","TOT","AGRWTH","A","2010",-19.346062,
"HUN","GFCF","TOT","AGRWTH","A","2010",-9.476288,
"ISL","GFCF","TOT","AGRWTH","A","2010",-8.066315,
"IRL","GFCF","TOT","AGRWTH","A","2010",-15.030347,
"ITA","GFCF","TOT","AGRWTH","A","2010",-0.546,
"JPN","GFCF","TOT","AGRWTH","A","2010",-1.593052,
"KOR","GFCF","TOT","AGRWTH","A","2010",5.516776,
"LUX","GFCF","TOT","AGRWTH","A","2010",3.534445,
"MEX","GFCF","TOT","AGRWTH","A","2010",4.713232,
"NLD","GFCF","TOT","AGRWTH","A","2010",-6.518236,
"NZL","GFCF","TOT","AGRWTH","A","2010",3.673438,
"NOR","GFCF","TOT","AGRWTH","A","2010",-6.433309,
"POL","GFCF","TOT","AGRWTH","A","2010",-0.04296,
"PRT","GFCF","TOT","AGRWTH","A","2010",-0.94096,
"SVK","GFCF","TOT","AGRWTH","A","2010",7.243134,
"ESP","GFCF","TOT","AGRWTH","A","2010",-4.86585,
"SWE","GFCF","TOT","AGRWTH","A","2010",6.033552,
"CHE","GFCF","TOT","AGRWTH","A","2010",4.405218,
"TUR","GFCF","TOT","AGRWTH","A","2010",22.515867,
"GBR","GFCF","TOT","AGRWTH","A","2010",4.148926,"D"
"USA","GFCF","TOT","AGRWTH","A","2010",2.232247,
"CHL","GFCF","TOT","AGRWTH","A","2010",13.12983,
"COL","GFCF","TOT","AGRWTH","A","2010",4.860481,
"EST","GFCF","TOT","AGRWTH","A","2010",-2.655071,
"IND","GFCF","TOT","AGRWTH","A","2010",10.995293,"E"
"IDN","GFCF","TOT","AGRWTH","A","2010",6.692924,
"ISR","GFCF","TOT","AGRWTH","A","2010",9.13445,
"RUS","GFCF","TOT","AGRWTH","A","2010",6.405364,"E"
"SVN","GFCF","TOT","AGRWTH","A","2010",-13.306914,
"ZAF","GFCF","TOT","AGRWTH","A","2010",-3.912252,
"EU28","GFCF","TOT","AGRWTH","A","2010",0.02028,
"OECD","GFCF","TOT","AGRWTH","A","2010",2.261,
"OECDE","GFCF","TOT","AGRWTH","A","2010",1.554147,
"LVA","GFCF","TOT","AGRWTH","A","2010",-19.767257,
"CAN","GFCF","TOT","AGRWTH","A","2010",11.510473,
"BRA","GFCF","TOT","AGRWTH","A","2010",17.854178,
"LTU","GFCF","TOT","AGRWTH","A","2010",1.475311,
"EA19","GFCF","TOT","AGRWTH","A","2010",-0.356971,
"ARG","GFCF","TOT","AGRWTH","A","2010",26.254584,
"CRI","GFCF","TOT","AGRWTH","A","2010",4.275802,
"BGR","GFCF","TOT","AGRWTH","A","2010",-17.667782,
"HRV","GFCF","TOT","AGRWTH","A","2010",-15.191145,
"CYP","GFCF","TOT","AGRWTH","A","2010",-2.861549,
"MLT","GFCF","TOT","AGRWTH","A","2010",26.446099,
"PER","GFCF","TOT","AGRWTH","A","2010",21.873336,
"ROU","GFCF","TOT","AGRWTH","A","2010",0.14042,
"MKD","GFCF","TOT","AGRWTH","A","2010",-4.025334,
