GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-279932,-358439,-366107,-485860,-468019,-538921,-558584,-571762,-569265,-858470,-653917,-467765,-640332,-739379,-1126629,-1406675,-1423165,-1714652,-1973873,-2602686,-3937745,-3767089,-3891698,-4813458,-6068408,-5982013,-5468181,-5638340,-5681850,-6360650,-8055224,-7244797,-7892898,-8008103,-7693607
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-259074,-336035,-340814,-458299,-437839,-504173,-515128,-514255,-494367,-751429,-544670,-315653,-442025,-460922,-807256,-1026090,-887194,-980533,-1172287,-1648966,-2891234,-2690559,-2700144,-3689163,-4987534,-4738004,-4014252,-3915177,-3766403,-4080482,-5595397,-4317243,-4431031,-4432278,-4677529
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-155589,-219400,-219745,-311370,-288460,-352205,-363760,-340682,-283211,-382809,-225879,-58558,-82675,-78575,-251967,-357860,-157349,-193728,-229700,-359517,-1459695,-1194025,-1076785,-1801204,-2762996,-2445257,-1757217,-1452146,-1290259,-1450344,-2469759,-1318508,-1330331,-1219563,-1340239
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-155589,-219400,-219745,-311370,-288460,-352205,-363760,-340682,-283211,-382809,-225879,-58558,-82675,-78575,-251967,-357860,-157349,-193728,-229700,-359517,-1459695,-1194025,-1076785,-1801204,-2762996,-2445257,-1757217,-1452146,-1290259,-1450344,-2469759,-1318508,-1330331,-1219563,-1340239
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-30,-10,-5,-12,-19,-26,-27,-7,-15,-8,0,0,0,0,0,0
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-30,-10,-5,-12,-19,-26,-27,-7,-15,-8,0,0,0,0,0,0
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "98000" ,"Far West",8,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
